gene	log2FC	p	padj	n
KCNQ1OT1	-7.57225461658215	1.45078049966718e-18	1.31491490587334e-14	38
LOC100129434	-8.55599463577749	1.04908522135627e-18	1.31491490587334e-14	38
SHISA9	-8.06669092909561	2.04830263762083e-17	1.23765273040509e-13	38
UGDH-AS1	-8.10974661783809	2.78325553514167e-17	1.26130182713783e-13	38
RAP1GAP2	-8.47409367869518	1.7157605843268e-16	6.2203184224184e-13	38
LOC729348	-8.40484696993979	2.44852470033165e-16	7.39740120715197e-13	38
ADAD2	-23.7034532507257	2.92744424591036e-15	8.1099879939524e-13	38
ADGRA1-AS1	-24.0005766518562	1.30016418819081e-15	8.1099879939524e-13	38
ALLC	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
ASTN2	-9.37792792256713	4.42409928014872e-16	8.1099879939524e-13	38
ATOH7	-23.8461650638317	1.98428060855592e-15	8.1099879939524e-13	38
C1QL4	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
CDT1	-23.7034532507257	2.92744424591036e-15	8.1099879939524e-13	38
CFC1	-23.7101797660236	2.87635016093644e-15	8.1099879939524e-13	38
CPA6	-24.0005766518562	1.30016418819081e-15	8.1099879939524e-13	38
CPZ	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
CRH	-23.7101797660236	2.87635016093644e-15	8.1099879939524e-13	38
DLX3	-23.7101797660236	2.87635016093644e-15	8.1099879939524e-13	38
ELFN1-AS1	-23.853949935134	1.94207645819915e-15	8.1099879939524e-13	38
FAM189A1	-23.7101797660236	2.87635016093644e-15	8.1099879939524e-13	38
FGF6	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
FLJ16171	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
FSCN3	-23.7034532507257	2.92744424591036e-15	8.1099879939524e-13	38
INHA	-24.0005766518562	1.30016418819081e-15	8.1099879939524e-13	38
KCNK7	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
KIF9-AS1	-23.7101797660236	2.87635016093644e-15	8.1099879939524e-13	38
KLK4	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
KREMEN2	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
LEUTX	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
LGALS9C	-23.7034532507257	2.92744424591036e-15	8.1099879939524e-13	38
LINC00222	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
LINC00658	-23.7101797660236	2.87635016093644e-15	8.1099879939524e-13	38
LINC00951	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
LINC01020	-23.853949935134	1.94207645819915e-15	8.1099879939524e-13	38
LINC01445	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
LINC01592	-23.7101797660236	2.87635016093644e-15	8.1099879939524e-13	38
LIPN	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
LOC100128714	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
LOC100289673	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
LOC100506384	-23.7034532507257	2.92744424591036e-15	8.1099879939524e-13	38
LOC102723649	-24.0005766518562	1.30016418819081e-15	8.1099879939524e-13	38
LOC1720	-23.8461650638317	1.98428060855592e-15	8.1099879939524e-13	38
LOC284632	-23.8424631797908	2.0053119659638e-15	8.1099879939524e-13	38
LOC388942	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
LOC400655	-23.7034532507257	2.92744424591036e-15	8.1099879939524e-13	38
LRRIQ4	-23.853949935134	1.94207645819915e-15	8.1099879939524e-13	38
MAGEA4	-23.8461650638317	1.98428060855592e-15	8.1099879939524e-13	38
MAGI1-AS1	-23.8461650638317	1.98428060855592e-15	8.1099879939524e-13	38
MIR3926-2	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
MIR548H4	-24.0103577675029	1.26592139345521e-15	8.1099879939524e-13	38
MIR6847	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
MIR7515HG	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
MLLT11	-23.8461650638317	1.98428060855592e-15	8.1099879939524e-13	38
NKX2-2	-23.7034532507257	2.92744424591036e-15	8.1099879939524e-13	38
OR2S2	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
OR4C45	-23.6949880171962	2.9975682440272e-15	8.1099879939524e-13	38
ORC4	-7.48681406749778	7.07935629500169e-16	8.1099879939524e-13	38
PDE6H	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
POM121L1P	-23.8461650638317	1.98428060855592e-15	8.1099879939524e-13	38
PVRL4	-23.8455916363433	1.98793622932428e-15	8.1099879939524e-13	38
RERG-AS1	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
SLC25A51P1	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
SNAR-C4	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
SNORD115-20	-23.7017812508496	2.94263676622554e-15	8.1099879939524e-13	38
SYNGR3	-23.8461650638317	1.98428060855592e-15	8.1099879939524e-13	38
TET3	-9.27360049659196	1.816657779854e-15	8.1099879939524e-13	38
TMEM114	-23.8583122090105	1.92000628352955e-15	8.1099879939524e-13	38
CER1	-23.653307009424	3.35241520055067e-15	8.68131862005457e-13	38
LOC101929584	-23.653307009424	3.35241520055067e-15	8.68131862005457e-13	38
ZMYND10	-23.653307009424	3.35241520055067e-15	8.68131862005457e-13	38
LINC01050	-23.5527108749677	4.37877379528901e-15	1.10241711926672e-12	38
LOC100505666	-23.5527108749677	4.37877379528901e-15	1.10241711926672e-12	38
SCGB1D1	-23.5333381203584	4.64569047565239e-15	1.1535949486596e-12	38
C22orf42	-23.4812126041342	5.33554907576644e-15	1.16308785565183e-12	38
CYP2J2	-23.4994646592086	5.09326601707402e-15	1.16308785565183e-12	38
GDF7	-23.4871530675448	5.26684594524273e-15	1.16308785565183e-12	38
GIP	-23.4514551872101	5.7746955926885e-15	1.16308785565183e-12	38
LAMP5-AS1	-23.4994646592086	5.09326601707402e-15	1.16308785565183e-12	38
LOC100132735	-23.4917680810841	5.20045361979835e-15	1.16308785565183e-12	38
LOC102724096	-23.4514551872101	5.7746955926885e-15	1.16308785565183e-12	38
LOC102724958	-23.4514551872101	5.7746955926885e-15	1.16308785565183e-12	38
LOC283214	-23.4994646592086	5.09326601707402e-15	1.16308785565183e-12	38
LOC284395	-23.4994646592086	5.09326601707402e-15	1.16308785565183e-12	38
MIR3135B	-23.4994646592086	5.09326601707402e-15	1.16308785565183e-12	38
OTC	-23.4514551872101	5.7746955926885e-15	1.16308785565183e-12	38
OVAAL	-23.4917680810841	5.20045361979835e-15	1.16308785565183e-12	38
SAGE1	-23.4514551872101	5.7746955926885e-15	1.16308785565183e-12	38
SDR9C7	-23.4812126041342	5.33554907576644e-15	1.16308785565183e-12	38
UOX	-23.4514551872101	5.7746955926885e-15	1.16308785565183e-12	38
ZNF750	-23.4514551872101	5.7746955926885e-15	1.16308785565183e-12	38
NPAS4	-23.4329800633464	6.06897743003463e-15	1.17034419015147e-12	38
PKDREJ	-23.4329800633464	6.06897743003463e-15	1.17034419015147e-12	38
SLC25A22	-23.4329800633464	6.06897743003463e-15	1.17034419015147e-12	38
