gene	log2FC	p	padj	n
ENSG00000279457	-0.222853030107172	0.749639687688044	0.961688830408091	6
ENSG00000225972	-1.22748610275943	0.0415191073720677	0.320426088192064	6
ENSG00000225630	-0.444451234127451	0.159425090564126	0.6013410638698	6
ENSG00000237973	-0.707355197320788	0.0831918436716209	0.447922323589519	6
ENSG00000229344	-0.512480704779183	0.557649400730995	0.910433150262255	6
ENSG00000240409	-0.894151490845103	0.537994181273671	NA	6
ENSG00000248527	-0.390252355517017	0.284745412213322	0.753751249743019	6
ENSG00000198744	-0.540008279834771	0.406005800408324	0.839196246793386	6
ENSG00000228327	-0.547403874550929	0.570316997703502	0.914859951889314	6
ENSG00000237491	-0.208183975548422	0.799543878859529	0.96813961102533	6
ENSG00000230092	-0.0516190838273087	0.967945751786973	NA	6
ENSG00000177757	-0.702359834431074	0.359084833264615	0.81002965997305	6
ENSG00000228794	0.0451938824531697	0.822307033447168	0.97219467897286	6
ENSG00000225880	-0.383918066035174	0.813482934402441	NA	6
ENSG00000272438	-2.24175333221412	0.0863919202556695	NA	6
ENSG00000230699	-1.39998969040507	0.0793023500591306	0.437939144595961	6
ENSG00000223764	-2.52976368554402	NA	NA	6
ENSG00000187634	-3.5423205103593	NA	NA	6
ENSG00000188976	0.452527503979441	0.00295485070949858	0.0623117040328579	6
ENSG00000187961	-0.0321669494110345	0.919948566783438	0.987932299464693	6
ENSG00000187583	-0.506838527862553	0.675001176196807	NA	6
ENSG00000188290	-0.129756487289087	0.85288863755811	0.978594989991495	6
ENSG00000187608	0.0706073467846039	0.750127139688128	0.961688830408091	6
ENSG00000224969	-0.820254106575908	0.570404545032111	NA	6
ENSG00000188157	0.166777578451648	0.274455514334043	0.744314274430866	6
ENSG00000131591	0.173425276783508	0.505021871108628	0.888433917192404	6
ENSG00000078808	0.120564007414879	0.488148894364319	0.883452284094564	6
ENSG00000176022	0.0220050723093667	0.879971826956264	0.982554716006643	6
ENSG00000184163	0.429356764440579	0.440609491785564	0.858203764673742	6
ENSG00000260179	0.0581434683427525	0.948654392830583	NA	6
ENSG00000160087	0.0429249585162332	0.749163665617696	0.961688830408091	6
ENSG00000230415	-0.459144660881918	0.515235916217842	0.89071318442907	6
ENSG00000162572	-0.213493447081853	0.562906640702635	0.912449579014247	6
ENSG00000131584	0.139654785797878	0.51259369529194	0.890551210593252	6
ENSG00000169972	0.090795779414299	0.657723847710632	0.944776565537018	6
ENSG00000127054	0.220612696459591	0.0791344255180716	0.437939144595961	6
ENSG00000240731	0.170968940866872	0.705244473675022	0.955912378809183	6
ENSG00000224051	0.139057946285375	0.492975908057845	0.885302236348982	6
ENSG00000169962	-0.264213082954175	0.802115728543019	NA	6
ENSG00000107404	0.147281620935862	0.284788650366359	0.753751249743019	6
ENSG00000162576	-0.108258877239602	0.565198667589263	0.912611218504033	6
ENSG00000175756	0.36895245428787	0.0505293984127708	0.354143651960564	6
ENSG00000221978	0.0272419352813074	0.888856398290239	0.983610976151138	6
ENSG00000224870	-0.163593214865353	0.308026442909683	0.770465832134928	6
ENSG00000242485	0.207853924823121	0.292398482309781	0.759561637123825	6
ENSG00000272455	-0.298313515626747	0.454864506324976	0.86817099415911	6
ENSG00000235098	-1.07118006900549	0.0716409477345384	0.418601165397724	6
ENSG00000179403	0.640338722643436	0.171169528137639	0.620214896457586	6
ENSG00000215915	-0.368841572225071	0.750321373352218	NA	6
ENSG00000160072	0.168943692488657	0.635134276865376	0.937060567545999	6
ENSG00000197785	0.400097420648618	0.0333472786366969	0.283163033715071	6
ENSG00000205090	-0.728560381106409	0.0463647007480863	0.337531682853755	6
ENSG00000160075	-0.00288026609760698	0.982838548472852	0.997953446745142	6
ENSG00000215014	0.316544278606151	0.494405864561117	0.88600881240861	6
ENSG00000228594	-0.194804288483104	0.489781326435751	0.884131540723659	6
ENSG00000272106	0.166545725749836	0.55321167558895	0.909014089075135	6
ENSG00000197530	-0.12969966040065	0.477340446723158	0.879938355121802	6
ENSG00000248333	-0.0107385610416904	0.937382395566793	0.990647688893958	6
ENSG00000189339	-0.0669397709916394	0.760258630135785	0.963053611126829	6
ENSG00000269737	0.489967980154375	0.378822824346309	0.823445447708667	6
ENSG00000008128	0.0495568964812391	0.917292316961184	0.987932299464693	6
ENSG00000268575	-0.340697053238664	0.569026922148236	0.914422759057209	6
ENSG00000227775	-0.597686137533457	0.186198526034889	0.642793331387335	6
ENSG00000215790	0.178689272639293	0.687869537905561	0.952057733515951	6
ENSG00000008130	0.216397430139653	0.251181349066206	0.72124809005161	6
ENSG00000078369	0.140806278953702	0.430315313768033	0.853446821410197	6
ENSG00000231050	-1.62598202748554	0.30531596320318	NA	6
ENSG00000169885	-0.327882286098933	0.53444748672957	0.898206460804153	6
ENSG00000178821	1.46355038948296	0.213181420245114	NA	6
ENSG00000067606	-1.60661698133534	5.09628745786631e-05	0.0031952537177692	6
ENSG00000182873	-0.255340456204191	0.486148196931864	0.883367911766166	6
ENSG00000162585	-0.00286599286916977	0.984867807299818	0.998459414066603	6
ENSG00000157933	-0.530803364889489	0.037620383730783	0.302736611346368	6
ENSG00000116151	-0.0903071451446847	0.688168477117533	0.952057733515951	6
ENSG00000269896	-0.183891273587387	0.708708345154927	0.955963631214805	6
ENSG00000272420	-1.41953042028106	0.413737605997041	NA	6
ENSG00000157916	0.0249918708786311	0.822323117971797	0.97219467897286	6
ENSG00000157911	0.348830900110624	0.111702926862059	0.519853057366015	6
ENSG00000149527	0.260848165768667	0.793949745619857	NA	6
ENSG00000157881	0.212304418422744	0.167903889263079	0.615733670973397	6
ENSG00000238164	-2.010605233159	0.102372879835904	NA	6
ENSG00000157873	-0.198184995387511	0.432847420498179	0.854678746073342	6
ENSG00000157870	0.521993667634574	0.0132344965760626	0.166729919481611	6
ENSG00000215912	-0.884123790998699	0.282865394653644	0.752762176955351	6
ENSG00000177133	-1.24034371667672	0.352530628548478	NA	6
ENSG00000142611	-1.68773378112175	0.00408663913015308	0.077975062239693	6
ENSG00000130762	1.75635776047574	0.301667704683756	NA	6
ENSG00000162591	-0.0631707913572976	0.890412798141745	0.983610976151138	6
ENSG00000238260	0.125645843224098	0.910795660115443	NA	6
ENSG00000158109	-0.152095063050218	0.357562506446169	0.809587963108561	6
ENSG00000116213	0.0341077947904537	0.871556142722745	0.981822182913627	6
ENSG00000078900	-1.16578903212786	0.434443549502139	NA	6
ENSG00000227372	-0.0508116854898219	0.760911811545955	0.963053611126829	6
ENSG00000130764	0.166605396075596	0.269240225808227	0.739302307362736	6
ENSG00000272153	0.229366192546481	0.759356293623005	0.962924854318466	6
ENSG00000116198	0.185990392207553	0.186256255382443	0.642816553673223	6
ENSG00000169598	0.285149704108177	0.240569854235888	0.710236372509311	6
ENSG00000198912	0.0450274129302336	0.787043979108787	0.967193725672434	6
ENSG00000236423	0.614193291835085	0.444151571800015	0.860336426266304	6
ENSG00000196581	0.786853659930147	0.625331366887506	NA	6
ENSG00000131697	-0.0746094014940256	0.774437662303072	0.9647446281139	6
ENSG00000069424	-0.0227134672612074	0.926974806505056	0.988577562633557	6
ENSG00000116254	-0.563152140467436	0.701905077040785	NA	6
ENSG00000116251	-0.00676531891713344	0.968111244953434	0.995244200722386	6
ENSG00000226944	1.19944608437447	0.293720325536296	NA	6
ENSG00000158286	0.220008945311909	0.555574781392952	0.909478579128957	6
ENSG00000116237	-0.0187215998117647	0.868962484309736	0.981664533765174	6
ENSG00000158292	-0.168371596326841	0.518171475732291	0.891221881068107	6
ENSG00000097021	-0.248855514194782	0.499644930661706	0.887964886660487	6
ENSG00000069812	-0.91927982648816	0.544867673086765	NA	6
ENSG00000187017	0.396383345588927	0.715082395540718	NA	6
ENSG00000215788	-0.274858131436243	0.774395700876262	0.9647446281139	6
ENSG00000171680	-1.04932045976994	0.00277249529805239	0.0596381435389567	6
ENSG00000162408	0.107119441414417	0.514658380093525	0.89071318442907	6
ENSG00000229519	0.32412619675692	0.824168626182613	NA	6
ENSG00000204859	0.160794216502921	0.41640252420805	0.846019049616773	6
ENSG00000162413	0.0687587714884068	0.749131811069794	0.961688830408091	6
ENSG00000116273	0.0952616299340177	0.548934833556586	0.906106707880259	6
ENSG00000041988	0.218147618986832	0.345782250855912	0.800394891379366	6
ENSG00000007923	0.440499169956731	0.00677714621885484	0.111409671988004	6
ENSG00000237436	-0.438411323335154	0.756136879391649	NA	6
ENSG00000171735	0.0139692662475701	0.935211655568736	0.989882209010068	6
ENSG00000049245	0.0124556375439997	0.93098306482998	0.989332947278761	6
ENSG00000269925	-0.399727195387402	0.634687006350548	NA	6
ENSG00000049246	0.598534549601408	0.0481554721400673	0.34512977389246	6
ENSG00000116288	0.208505749574777	0.193140308052154	0.65192162189022	6
ENSG00000116285	-0.1153836151192	0.627249802695615	0.934911044960952	6
ENSG00000238290	0.485732453575296	0.645983025507543	NA	6
ENSG00000162426	-0.452178527913493	0.0410652697938709	0.318184231242033	6
ENSG00000142599	0.606784282293939	1.85312769022565e-06	0.000254035538280425	6
ENSG00000232912	-0.571299976639002	0.762174815745338	NA	6
ENSG00000074800	0.257254162911779	0.188795073892252	0.646085840032848	6
ENSG00000236269	1.08136227040041	0.636029241138599	NA	6
ENSG00000142583	-1.48774534530219	0.0326655899201974	0.280168919697303	6
