gene	log2FC	p	padj	n
CAMTA1	-0.0499573407045295	0.793869304456159	0.999070518699245	8
AL590128.1	0.354573957488826	0.562303875872185	0.999070518699245	8
CAMTA1-AS1	1.35333484065499	0.388112540409381	NA	8
AL359881.3	1.28192403155452	0.40807633357951	NA	8
AL359881.2	1.95959438272449	0.159451088346182	NA	8
AL359881.1	-0.603503633071134	0.577260003849369	NA	8
VAMP3	-0.0525274755293132	0.655667873367378	0.999070518699245	8
Z98884.2	0.048316833174693	0.906546587949598	0.999070518699245	8
PER3	0.164499566833158	0.438549590501608	0.999070518699245	8
Z98884.1	0.118461420337414	0.76595168328004	0.999070518699245	8
UTS2	-1.67701138199157	0.132253014525957	0.999070518699245	8
TNFRSF9	0.312465411847564	0.523320093733904	0.999070518699245	8
PARK7	-0.042326463648327	0.756859552805553	0.999070518699245	8
Y_RNA	-0.0720021734863884	0.596312792892824	0.999070518699245	8
AL034417.4	0.544891712069542	0.171299462991197	0.999070518699245	8
AL034417.3	-1.2244639346344	0.399467219001236	NA	8
ERRFI1	0.0167498840012116	0.942801285402396	0.999070518699245	8
AL034417.2	0.246337640763367	0.761553728823026	0.999070518699245	8
SLC45A1	0.056045801669384	0.873286030543749	0.999070518699245	8
RERE	0.338654685226136	0.12070851893083	0.999070518699245	8
RERE-AS1	0.212762885029922	0.550356927140145	0.999070518699245	8
SNORA77	0.0217697930872129	0.957433820992106	0.999070518699245	8
AL096855.2	0.0415393455558132	0.959940682407821	NA	8
RPL7P11	-0.241010966100292	0.703112570748151	0.999070518699245	8
RPL7P7	-0.432772930842368	0.377637293125159	0.999070518699245	8
AL357552.1	1.02728478524557	0.174217713086795	0.999070518699245	8
AL357552.2	-0.124669485503335	0.811514033427531	0.999070518699245	8
ENO1	0.0135372374302319	0.93923403662881	0.999070518699245	8
ENO1-AS1	-0.395810216315515	0.384692205938884	0.999070518699245	8
AL139415.1	-1.51201714100187	0.165556782486779	NA	8
CA6	0.211070203369669	0.889625479846964	NA	8
RN7SL451P	-0.131382666862277	0.905824231534543	NA	8
SLC2A5	-0.685183833224017	0.0306183939240039	0.999070518699245	8
SCARNA16	-0.157174764194198	0.817804794884513	0.999070518699245	8
GPR157	0.279504425542008	0.0916867261982411	0.999070518699245	8
MIR34AHG	0.290345450937804	0.164110357635839	0.999070518699245	8
LNCTAM34A	-0.358832768740233	0.458133236731782	0.999070518699245	8
H6PD	0.197930613670922	0.206297017670496	0.999070518699245	8
SPSB1	-0.377444800588632	0.130478297990479	0.999070518699245	8
BX323043.1	-0.31062258514958	0.503528960213609	0.999070518699245	8
LINC02606	-0.0331990997795519	0.888516047481418	0.999070518699245	8
AL928921.1	0.182031314429778	0.78110257661819	0.999070518699245	8
SLC25A33	-0.250682737188448	0.216070802683979	0.999070518699245	8
AL954705.1	0.277407318290023	0.638530976984875	0.999070518699245	8
TMEM201	0.247214102560866	0.204023731205745	0.999070518699245	8
PIK3CD	-0.000641376949838718	0.997876636888277	0.999858118994618	8
PIK3CD-AS1	0.11377357032532	0.810573550166847	0.999070518699245	8
AL691449.1	-0.258321005684104	0.736845287433981	0.999070518699245	8
PIK3CD-AS2	-0.179364887609606	0.72229517278326	0.999070518699245	8
CLSTN1	0.193345130525669	0.140272393425954	0.999070518699245	8
AL357140.3	-0.328919436226007	0.780197559242214	NA	8
CTNNBIP1	0.140635796486956	0.39271562232731	0.999070518699245	8
AL357140.4	0.218999815789574	0.510854436376978	0.999070518699245	8
LZIC	-0.092301925177738	0.43680121169055	0.999070518699245	8
AL357140.2	-0.469801868449965	0.398046975483776	0.999070518699245	8
NMNAT1	-0.15171758432809	0.247097038874991	0.999070518699245	8
RN7SKP269	-0.0151072945402215	0.984061868681282	0.999070518699245	8
TMEM274P	0.0237688956510187	0.970332576251172	0.999070518699245	8
MIR5697	0.0318539865102091	0.984403650283132	NA	8
RBP7	-0.23952559459154	0.17643314866684	0.999070518699245	8
UBE4B	0.0534648350257899	0.668736670785335	0.999070518699245	8
AL590639.1	-0.55366921224191	0.584660084484908	NA	8
PGAM1P11	0.344137057970673	0.599928667662835	0.999070518699245	8
RNU6-828P	0.342993084222428	0.747693835328337	NA	8
KIF1B	0.120714030776619	0.398926078140186	0.999070518699245	8
RNU6-37P	-0.647695112430461	0.595337002119648	NA	8
AL139424.3	0.0737017611833977	0.825139635502007	0.999070518699245	8
RN7SL721P	0.00175801160342847	0.998193232651159	0.999858118994618	8
AL139424.2	-0.0965011305956122	0.780125582292843	0.999070518699245	8
PGD	0.0967490127058282	0.484528047303992	0.999070518699245	8
CENPS-CORT	0.0563915267879459	0.923720834184918	0.999070518699245	8
CENPS	-0.0749183402587415	0.894258449272266	0.999070518699245	8
CORT	-0.450220597566196	0.656782551202524	NA	8
DFFA	0.0260934602948241	0.844566895759481	0.999070518699245	8
PEX14	0.0300874039367189	0.878380785372972	0.999070518699245	8
AL139423.2	0.0312152665097806	0.911236574938706	0.999070518699245	8
RN7SL614P	-0.0645870985201811	0.938955735934506	NA	8
CASZ1	-0.0232650070712821	0.935798734772657	0.999070518699245	8
AL139423.1	-0.112877990731349	0.820040174079296	0.999070518699245	8
C1orf127	0.0552064164873224	0.891316224546506	0.999070518699245	8
TARDBP	-0.10411173536593	0.37872920626064	0.999070518699245	8
MASP2	0.122924744610701	0.574539384747101	0.999070518699245	8
AL109811.2	-0.110991605757981	0.724618277696573	0.999070518699245	8
SRM	0.282585677464824	0.0784986988782841	0.999070518699245	8
EXOSC10	-0.0647394550527447	0.561536914913434	0.999070518699245	8
AL109811.1	0.217298174942026	0.374534673085837	0.999070518699245	8
EXOSC10-AS1	-0.130777613989161	0.867323660547505	NA	8
MTOR	0.0218498278304115	0.855520546877683	0.999070518699245	8
MTOR-AS1	0.0576530961132738	0.911723578357499	0.999070518699245	8
ANGPTL7	0.462220138354441	0.182933461877027	0.999070518699245	8
RPL39P6	1.86564456518279	0.206858098668944	NA	8
UBIAD1	0.142353006247034	0.443616559602879	0.999070518699245	8
UBE2V2P3	0.639548183677511	0.44716045263793	NA	8
DISP3	-0.605905581066314	0.542805194708229	NA	8
FBXO2	0.292351010995501	0.642054907487535	0.999070518699245	8
FBXO44	0.268052410147932	0.117162764138151	0.999070518699245	8
FBXO6	0.0215354977054677	0.913184466186514	0.999070518699245	8
MAD2L2	0.240352275527136	0.321354352309447	0.999070518699245	8
DRAXIN	0.54292047172347	0.319274743242456	0.999070518699245	8
AGTRAP	0.0197644960900708	0.923819544994774	0.999070518699245	8
C1orf167	1.3768645786074	0.301049413773321	NA	8
MTHFR	0.256209763406603	0.0266049982015949	0.999070518699245	8
CLCN6	0.242435185357584	0.0400511367015014	0.999070518699245	8
NPPA	0.580995832415875	0.287162477518412	0.999070518699245	8
AL021155.4	-0.00948202416707256	0.981987465977309	0.999070518699245	8
KIAA2013	0.117359584391611	0.375693243443816	0.999070518699245	8
PLOD1	0.0275062682776212	0.862912055000935	0.999070518699245	8
MFN2	-0.0350365634910829	0.714075139470924	0.999070518699245	8
MIIP	0.39366298209656	0.0867873636284156	0.999070518699245	8
TNFRSF8	0.160055548490282	0.556528481757286	0.999070518699245	8
TNFRSF1B	0.0705916638834149	0.717231265080198	0.999070518699245	8
MIR4632	-0.0445902415725721	0.96909520602178	NA	8
SNORA70	-0.0315659102794797	0.879534275377804	0.999070518699245	8
VPS13D	0.0810276889786327	0.442445071332048	0.999070518699245	8
SNORA59A	0.507601632028138	0.58883386259605	NA	8
LINC02766	0.289558419862226	0.449565445540708	0.999070518699245	8
DHRS3	-0.138317578329712	0.461153310996012	0.999070518699245	8
RNU6ATAC18P	0.35487593735974	0.498197021740756	0.999070518699245	8
AC254633.1	0.266348082337758	0.337643318179681	0.999070518699245	8
AADACL3	-0.200302553419495	0.794945096164848	0.999070518699245	8
C1orf158	0.14745500857521	0.894497000842042	NA	8
PDPN	-0.125406630414775	0.752274294131825	0.999070518699245	8
SCARNA11	0.477885258595728	0.404303236185752	0.999070518699245	8
PRDM2	0.149072202008635	0.331099882956875	0.999070518699245	8
KAZN	0.155341160064798	0.328395200033821	0.999070518699245	8
AL357873.1	-0.261367577411586	0.459335549412702	0.999070518699245	8
KAZN-AS1	-0.164824702766128	0.726707426435531	0.999070518699245	8
TBCAP2	-0.575280956546388	0.605331818959581	NA	8
AL031293.1	-1.15077749700509	0.147436330378097	0.999070518699245	8
TMEM51-AS1	0.307399284787949	0.489976551012708	0.999070518699245	8
TMEM51	0.188903026737777	0.47888446936056	0.999070518699245	8
C1orf195	0.426134414841578	0.526543557679753	0.999070518699245	8
MFFP1	0.565189950542541	0.509632900051238	0.999070518699245	8
FHAD1	-0.0585767214450679	0.917490017724726	0.999070518699245	8
FHAD1-AS1	-1.0789916542655	0.172930351589803	0.999070518699245	8
AL031283.1	0.684921740936099	0.393885717798541	NA	8
EFHD2	0.187322012420797	0.433370003926793	0.999070518699245	8
CTRC	0.274756989359937	0.83390526038474	NA	8
CELA2B	2.20454156763999	0.0860694086686644	NA	8
CASP9	-0.0893756944592384	0.58169103713846	0.999070518699245	8
DNAJC16	0.0247665480462125	0.839733620933878	0.999070518699245	8
SCARNA21	-0.247818293833135	0.169497920448439	0.999070518699245	8
AL121992.3	1.34015104574417	0.293394806726434	NA	8
AGMAT	-0.125001870625438	0.73902485481648	0.999070518699245	8
AL121992.1	-0.538603580147332	0.64166412865457	NA	8
CHCHD2P6	0.0749656258591109	0.937401308447383	NA	8
DDI2	-0.0561056893871655	0.683191695289749	0.999070518699245	8
PLEKHM2	0.209748594127069	0.114684204445341	0.999070518699245	8
AL450998.2	0.220483400366153	0.592082903572135	0.999070518699245	8
SLC25A34	0.672009390829983	0.0323389246522433	0.999070518699245	8
FBLIM1	0.57283370649148	0.0215726436551241	0.999070518699245	8
RPL12P14	0.231682169539174	0.711515505647238	0.999070518699245	8
UQCRHL	-0.245037119252226	0.595182008336545	0.999070518699245	8
AL450998.1	0.213805078037374	0.843383477101783	NA	8
FLJ37453	0.16190582245966	0.510065359311612	0.999070518699245	8
SPEN	0.264248770438537	0.250139972668933	0.999070518699245	8
AL034555.1	0.156853460427575	0.836559765160923	0.999070518699245	8
ZBTB17	-0.00909366865185373	0.959853179903403	0.999070518699245	8
AL355994.4	0.805914322210026	0.290646331110413	0.999070518699245	8
HSPB7	-0.0717843631462961	0.832801109201713	0.999070518699245	8
CLCNKA	-0.0835412676140755	0.887242375939155	0.999070518699245	8
CLCNKB	0.679585481927859	0.452418243230581	NA	8
EPHA2	0.359159162264489	0.0487663591651415	0.999070518699245	8
AL451042.2	0.838347009637924	0.172221883204568	0.999070518699245	8
AL451042.1	0.172777844477385	0.851563549744057	NA	8
ARHGEF19	0.423022179230678	0.226558311124804	0.999070518699245	8
ANO7L1	0.838470415072675	0.105447867277077	0.999070518699245	8
AL109627.1	0.162819946290424	0.524454838857574	0.999070518699245	8
CPLANE2	0.198077985851002	0.48506467302956	0.999070518699245	8
MT1XP1	0.632010164901848	0.516091158961517	NA	8
FBXO42	0.00829804304888952	0.943105670886866	0.999070518699245	8
SZRD1	-0.0355493395569953	0.754643458167021	0.999070518699245	8
RPL22P3	-0.150228657789836	0.808868081017101	0.999070518699245	8
SPATA21	-0.0500101026999068	0.94259799434929	0.999070518699245	8
NECAP2	-0.0518861424782764	0.681893328838761	0.999070518699245	8
LINC01772	0.215904575405691	0.388372142247686	0.999070518699245	8
CROCCP3	0.219120474354598	0.166189553812447	0.999070518699245	8
RNU1-1	0.0626719081297426	0.871505580464751	0.999070518699245	8
NBPF1	-0.427320957112625	0.0446233405880209	0.999070518699245	8
AL137798.1	-0.616984642096196	0.451517890637499	NA	8
CROCCP2	-0.0762892394282184	0.713214126082095	0.999070518699245	8
AL137798.3	-0.115413852837161	0.726304176428717	0.999070518699245	8
MST1P2	-0.146157906335825	0.652593069767655	0.999070518699245	8
AL021920.2	0.246248248703132	0.818219570193435	NA	8
EIF1AXP1	-0.668932530946453	0.260616403923611	0.999070518699245	8
ESPNP	0.869821430191195	0.517702969847631	NA	8
CROCC	0.238374054821184	0.19012345481257	0.999070518699245	8
MST1L	0.121949400550115	0.824058881367248	0.999070518699245	8
BX284668.5	-0.301160794267965	0.506956345445501	0.999070518699245	8
BX284668.4	-1.02704750907871	0.130365415940318	0.999070518699245	8
RNU1-2	0.0614391832112604	0.928608953617003	0.999070518699245	8
BX284668.6	-0.658398545953068	0.368630880051045	0.999070518699245	8
MFAP2	-0.116424627250338	0.638750722893407	0.999070518699245	8
AL049569.2	0.532587493245888	0.503431614424895	NA	8
AL049569.1	0.223437189730092	0.84118397454925	NA	8
ATP13A2	0.0256306868590086	0.891705431847334	0.999070518699245	8
SDHB	-0.171929314064506	0.207778292667613	0.999070518699245	8
PADI2	-0.541739335766587	0.256787769595153	0.999070518699245	8
LINC02783	1.66554944902054	0.259602458934862	NA	8
PADI1	2.38930617925578	0.0877943712133528	NA	8
PADI4	-0.220109761025545	0.752144906894911	0.999070518699245	8
RCC2	-0.0173070882268284	0.907298723228112	0.999070518699245	8
ARHGEF10L	0.117351709723839	0.343374870486657	0.999070518699245	8
IGSF21	0.782690465948145	0.0845297916288045	0.999070518699245	8
AL365209.1	1.2050909949001	0.000234985548032497	0.187536428607713	8
IGSF21-AS1	1.86672875763402	0.106854502299575	NA	8
KLHDC7A	-0.272908047050203	0.764294190496099	0.999070518699245	8
RP13-279N23.2	-0.774389690675603	0.572382057059694	NA	8
ALDH4A1	-0.21929457640823	0.106630633972143	0.999070518699245	8
MIR1290	1.62658499033118	0.262597996159017	NA	8
IFFO2	0.131415507680081	0.481521651932909	0.999070518699245	8
AL137127.1	0.0342679238839212	0.90453782706697	0.999070518699245	8
UBR4	0.25263195479378	0.0332988692166479	0.999070518699245	8
